Branches,GFLOPS,MB,Flexibility
1,16.825,116.066,0.00000001
2,33.65,232.132,1
3,50.475,348.198,2
4,67.3,464.264,3
5,84.125,580.33,4
6,100.95,696.396,5
7,117.775,812.462,6
8,134.6,928.528,7
9,151.425,1044.594,8
10,168.25,1160.66,9
11,185.075,1276.726,10
12,201.9,1392.792,11
13,218.725,1508.858,12
14,235.55,1624.924,13
15,252.375,1740.99,14
16,269.2,1857.056,15
17,286.025,1973.122,16
18,302.85,2089.188,17
19,319.675,2205.254,18
20,336.5,2321.32,19
21,353.325,2437.386,20
22,370.15,2553.452,21
23,386.975,2669.518,22
24,403.8,2785.584,23
25,420.625,2901.65,24
26,437.45,3017.716,25
27,454.275,3133.782,26
28,471.1,3249.848,27
29,487.925,3365.914,28
30,504.75,3481.98,29
31,521.575,3598.046,30
32,538.4,3714.112,31
33,555.225,3830.178,32
34,572.05,3946.244,33
35,588.875,4062.31,34
36,605.7,4178.376,35
37,622.525,4294.442,36
38,639.35,4410.508,37
39,656.175,4526.574,38
40,673,4642.64,39
41,689.825,4758.706,40
42,706.65,4874.772,41
43,723.475,4990.838,42
44,740.3,5106.904,43
45,757.125,5222.97,44
46,773.95,5339.036,45
47,790.775,5455.102,46
48,807.6,5571.168,47
49,824.425,5687.234,48
50,841.25,5803.3,49
51,858.075,5919.366,50
52,874.9,6035.432,51
53,891.725,6151.498,52
54,908.55,6267.564,53
55,925.375,6383.63,54
56,942.2,6499.696,55
57,959.025,6615.762,56
58,975.85,6731.828,57
59,992.675,6847.894,58
60,1009.5,6963.96,59
61,1026.325,7080.026,60
62,1043.15,7196.092,61
63,1059.975,7312.158,62
64,1076.8,7428.224,63
65,1093.625,7544.29,64
66,1110.45,7660.356,65
67,1127.275,7776.422,66
68,1144.1,7892.488,67
69,1160.925,8008.554,68
70,1177.75,8124.62,69
71,1194.575,8240.686,70
72,1211.4,8356.752,71
73,1228.225,8472.818,72
74,1245.05,8588.884,73
75,1261.875,8704.95,74
76,1278.7,8821.016,75
77,1295.525,8937.082,76
78,1312.35,9053.148,77
79,1329.175,9169.214,78
80,1346,9285.28,79
81,1362.825,9401.346,80
82,1379.65,9517.412,81
83,1396.475,9633.478,82
84,1413.3,9749.544,83
85,1430.125,9865.61,84
86,1446.95,9981.676,85
87,1463.775,10097.742,86
88,1480.6,10213.808,87
89,1497.425,10329.874,88
90,1514.25,10445.94,89
91,1531.075,10562.006,90
92,1547.9,10678.072,91
93,1564.725,10794.138,92
94,1581.55,10910.204,93
95,1598.375,11026.27,94
96,1615.2,11142.336,95
97,1632.025,11258.402,96
98,1648.85,11374.468,97
99,1665.675,11490.534,98
100,1682.5,11606.6,99
