Branches,Classes,GFLOPS,MB
1,1,16.798,114.873
,2,16.806,115.214
,3,16.814,115.555
,4,16.821,115.895
,5,16.829,116.236
,6,16.837,116.577
,7,16.845,116.917
,8,16.853,117.258
2,"1,7",33.643,231.790
,"2,6",33.643,231.790
,"3,5",33.643,231.790
,"4,4",33.643,231.790
3,"1,1,6",50.433,346.323
,"1,2,5",50.433,346.323
,"1,3,4",50.433,346.323
,"2,2,4",50.433,346.323
,"2,3,3",50.433,346.323
4,"1,1,1,5",67.222,460.855
,"1,1,2,4",67.222,460.855
,"1,1,3,3",67.222,460.855
,"1,2,2,3",67.222,460.855
,"2,2,2,2",67.222,460.855
5,"1,1,1,1,4",84.012,575.388
,"1,1,1,2,3",84.012,575.388
,"1,1,2,2,2",84.012,575.388
6,"1,1,1,1,1,3",100.802,689.920
,"1,1,1,1,2,2",100.802,689.920
7,"1,1,1,1,1,1,2",117.591,804.453
8,"1,1,1,1,1,1,1,1",134.381,918.985
